Subfield,Full field name,Description
Exp,Params.Display.Exp.GridOn,
,Params.Display.Exp.EyeOn,
,Params.Display.Exp.GazeWinOn,
,Params.Display.Exp.GridColor,
,Params.Display.Exp.EyeColor,
,Params.Display.Exp.GazeWinColor,
,Params.Display.Exp.BackgroundColor,
,Params.Display.Exp.GridSpacing,
,Params.Display.Exp.EyeSamples,
,Params.Display.Exp.GazeWinAlpha,
,Params.Display.Exp.GridFormat,
,Params.Display.Exp.GridWidth,
Eye,Params.Display.Eye.Alpha,
,Params.Display.Eye.Format,
,Params.Display.Eye.Color,
,Params.Display.Eye.TraceDuration,
,Params.Display.Eye.On,
,Params.Display.Eye.Diameter,
Fix,Params.Display.Fix.On,
,Params.Display.Fix.Color,
,Params.Display.Fix.Diameter,
,Params.Display.Fix.Width,
,Params.Display.Fix.Format,
Grid,Params.Display.Grid.BullsEyeWidth,
,Params.Display.Grid.Bullseye,
,Params.Display.Grid.Meridians,
,Params.Display.Grid.On,
,Params.Display.Grid.Color,
,Params.Display.Grid.Spacing,
,Params.Display.Grid.Width,
,Params.Display.Grid.Format,
,Params.Display.Grid.MeridiansOn,
PD,Params.Display.PD.Position,
,Params.Display.PD.Diameter,
,Params.Display.PD.Color,
,Params.Display.PD.Rect,
,Params.Display.PD.On,
,Params.Display.PD.ExpRect,
,Params.Display.PD.SubRect,
,Params.Display.PD.Screen,
Screen,Params.Display.Screen.ID,
Basic,Params.Display.Basic.ViewingDist,
,Params.Display.Basic.ScreenDims,
,Params.Display.Basic.Rect,
