AnalogIn,Params.DPx.AnalogIn.Rate
,Params.DPx.AnalogIn.Ch
,Params.DPx.AnalogIn.Options
,Params.DPx.AnalogIn.Assign
AnalogOut,Params.DPx.AnalogOut.Rate
,Params.DPx.AnalogOut.Ch
,Params.DPx.AnalogOut.Assign
,Params.DPx.AnalogOut.Options
Settings,Params.DPx.Settings.UseVideo
,Params.DPx.Settings.UseAudio
,Params.DPx.Settings.Installed
,Params.DPx.Settings.Connected
,Params.DPx.Settings.TDTconnected
,Params.DPx.Settings.EyeLinkInterface
,Params.DPx.Settings.UseDatapixx
DigitalIn,Params.DPx.DigitalIn.Ch
,Params.DPx.DigitalIn.Options
,Params.DPx.DigitalIn.Assign
DigitalOut,Params.DPx.DigitalOut.Options
,Params.DPx.DigitalOut.Assign
,Params.DPx.DigitalOut.Ch
